"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 17:48:32 GMT 2024","Wed May 15 17:48:33 GMT 2024","1232","tests","test_pairwise","TestPairwise","","","Тестирование оформления заказа для смартфона.","
        Тест функциональности оформления заказа для смартфона.

        Args:
            page: Объект страницы, представляющий текущую веб-страницу.
            Base_url: Базовый URL веб-сайта.
            User_account: Объект учетной записи пользователя,
                          представляющий текущего пользователя.

        Raises:
            Exception: Если происходит ошибка во время выполнения теста.
        "
"passed","Wed May 15 17:48:41 GMT 2024","Wed May 15 17:48:42 GMT 2024","464","tests","test_slider","TestSlider","","","test_slider[2]","Тестирование слайдера на веб-странице."
"passed","Wed May 15 17:48:25 GMT 2024","Wed May 15 17:48:25 GMT 2024","44","tests","test_pairwise","TestPairwise","","","Тестирование функциональности просмотра продукта.","
        Test the functionality of viewing a product.

        Args:
            self: The test class instance.
            page: The page object.
            base_url: The base URL of the website.
            user_account_authorized: A flag indicating whether the
            user account is authorized.

        "
"passed","Wed May 15 17:48:34 GMT 2024","Wed May 15 17:48:35 GMT 2024","359","tests","test_product","TestProduct","","","test_product","Тестирование функциональности продукта."
"passed","Wed May 15 17:48:25 GMT 2024","Wed May 15 17:48:26 GMT 2024","234","tests","test_logout_functionality","TestLogoutFunctionality","","","test_logout_functionality","Тестирование функциональности выхода из системы."
"passed","Wed May 15 17:48:16 GMT 2024","Wed May 15 17:48:17 GMT 2024","691","tests","test_home_page","TestHomePage","","","test_home_page_title[STORE-positive]","Тестирование заголовка домашней страницы."
"passed","Wed May 15 17:49:07 GMT 2024","Wed May 15 17:49:07 GMT 2024","39","tests","test_pairwise","TestPairwise","","","Тестирование оформления заказа для монитора.","
        Тест функциональности оформления заказа для монитора.

        Args:
            page: Объект страницы, представляющий текущую веб-страницу.
            Base_url: Базовый URL веб-сайта.

        Raises:
            Exception: Если происходит ошибка во время выполнения теста.
        "
"passed","Wed May 15 17:48:36 GMT 2024","Wed May 15 17:48:38 GMT 2024","1687","tests","test_pairwise","TestPairwise","","","Тестирование добавления монитора в корзину.","
        Тест функциональности добавления монитора в корзину.

        Args:
            page: Объект страницы, представляющий текущую веб-страницу.
            Base_url: Базовый URL веб-сайта.
            User_account: Объект учетной записи пользователя,
                          представляющий текущего пользователя.

        Raises:
            Exception: Если происходит ошибка во время выполнения теста.
        "
"passed","Wed May 15 17:48:37 GMT 2024","Wed May 15 17:48:38 GMT 2024","906","tests","test_signup","","","","test_signup_functionality[valid_username-invalid_password-negative]","Тестирование функциональности регистрации"
"passed","Wed May 15 17:48:21 GMT 2024","Wed May 15 17:48:22 GMT 2024","1277","tests","test_login","TestLoginPage","","","test_login_functionality[valid_username-invalid_password-negative]","Тестирование функциональности входа."
